"","species","assembly_accession","Goodman_r","Goodman_pvalue","Cambray_r","Cambray_pvalue"
"1127","Simonsiella","GCF_002951835.1",0.4509,3e-04,0.3314,0.0103
"1128","Simplicispira","GCF_003008595.1",0.5527,0,0.5556,0
"1129","Singulisphaera","GCF_000242455.2",0.6504,0,0.5502,0
"1130","Sinorhizobium","GCF_013488225.1",0.6741,0,0.5649,0
"1131","Skermanella","GCF_016765655.2",0.6404,0,0.5628,0
"1132","Skermania","GCF_019285775.1",0.5813,0,0.4281,7e-04
"1133","Slackia","GCF_900637575.1",0.7041,0,0.6374,0
"1134","Sneathia","GCF_000973085.1",-0.0649,0.6255,0.0119,0.9286
"1135","Snodgrassella","GCF_000600005.1",0.5349,0,0.3298,0.0107
"1136","Sodaliphilus","GCF_009676955.1",0.66,0,0.6714,0
"1137","Sodalis","GCF_000517425.1",0.6968,0,0.5744,0
"1138","Solidesulfovibrio","GCF_000010665.1",0.5764,0,0.5509,0
"1139","Solitalea","GCF_000242635.2",0.3845,0.0026,0.3202,0.0134
"1140","Sorangium","GCF_000067165.1",0.5948,0,0.5223,0
"1141","Spartinivicinus","GCF_011009015.1",0.3162,0.0147,0.33,0.0107
"1142","Sphaerobacter","GCF_000024985.1",0.6691,0,0.5435,0
"1143","Sphaerochaeta","GCF_000236685.1",0.6016,0,0.6654,0
"1144","Sphaerospermopsis","GCF_002368075.1",0.0148,0.9116,-0.0738,0.5787
"1145","Sphaerotilus","GCF_008329925.1",0.5554,0,0.4818,1e-04
"1146","Sphingobacterium","GCF_023277505.1",0.6751,0,0.5446,0
"1147","Sphingobium","GCF_002504085.1",0.6162,0,0.4821,1e-04
"1148","Sphingomicrobium","GCF_024721605.1",0.62,0,0.4442,4e-04
"1149","Sphingomonas","GCF_000512205.2",0.641,0,0.4879,1e-04
"1150","Sphingopyxis","GCF_001314325.1",0.6349,0,0.4004,0.0017
"1151","Sphingorhabdus","GCF_009768975.1",0.6823,0,0.5005,1e-04
"1152","Sphingosinithalassobacter","GCF_011057975.1",0.6568,0,0.4696,2e-04
"1153","Spiribacter","GCF_000485905.1",0.6291,0,0.5939,0
"1154","Spirochaeta","GCF_000242595.2",0.7299,0,0.6215,0
"1155","Spiroplasma","GCF_009866525.1",0.0852,0.5209,-0.161,0.2233
"1156","Spirosoma","GCF_010233585.1",0.5623,0,0.4098,0.0013
"1157","Sporolactobacillus","GCF_019930545.1",0.6671,0,0.4074,0.0014
"1158","Sporomusa","GCF_007641255.1",0.7061,0,0.5104,0
"1159","Sporosarcina","GCF_001590685.1",0.5842,0,0.3416,0.0081
"1160","Stackebrandtia","GCF_000024545.1",0.6024,0,0.4655,2e-04
"1161","Stanieria","GCF_000317575.1",0.0706,0.5951,-0.1476,0.2646
"1162","Staphylococcus","GCF_002442935.1",0.3459,0.0073,0.0847,0.5236
"1163","Staphylospora","GCF_003856495.1",0.6519,0,0.5421,0
"1164","Stappia","GCF_009789575.1",0.6863,0,0.5608,0
"1165","Starkeya","GCF_000092925.1",0.5941,0,0.5354,0
"1166","Stenotrophomonas","GCF_000661955.1",0.6013,0,0.5111,0
"1167","Steroidobacter","GCF_001579945.1",0.611,0,0.5481,0
"1168","Stieleria","GCF_007754155.1",0.5895,0,0.4282,7e-04
"1169","Streptantibioticus","GCF_000237305.1",0.5771,0,0.5154,0
"1170","Streptobacillus","GCF_000024565.1",-0.3596,0.0052,-0.2685,0.0398
"1171","Streptococcus","GCF_003086355.1",0.6507,0,0.5094,0
"1172","Streptomonospora","GCF_026642255.1",0.5031,0,0.4836,1e-04
"1173","Streptomyces","GCF_025908395.1",0.64,0,0.5055,0
"1174","Streptosporangium","GCF_000024865.1",0.5438,0,0.4897,1e-04
"1175","Subdoligranulum","GCF_025152575.1",0.6279,0,0.6276,0
"1176","Succinivibrio","GCF_016747875.1",0.4372,5e-04,0.5428,0
"1177","Suicoccus","GCF_003546865.1",0.6454,0,0.4689,2e-04
"1178","Sulfitobacter","GCF_001886735.1",0.6938,0,0.6036,0
"1179","Sulfuricaulis","GCF_002355735.1",0.6985,0,0.626,0
"1180","Sulfuricella","GCF_000297055.2",0.6464,0,0.6489,0
"1181","Sulfuricurvum","GCF_000183725.1",0.6186,0,0.5435,0
"1182","Sulfuriferula","GCF_009938015.1",0.5875,0,0.595,0
"1183","Sulfuriflexus","GCF_003967195.1",0.657,0,0.6063,0
"1184","Sulfurifustis","GCF_002355415.1",0.6942,0,0.5916,0
"1185","Sulfurihydrogenibium","GCF_000021545.1",-0.263,0.0441,-0.0876,0.5096
"1186","Sulfurimicrobium","GCF_011764585.1",0.6723,0,0.6312,0
"1187","Sulfurimonas","GCF_000242915.1",0.229,0.081,0.2113,0.1081
"1188","Sulfuriroseicoccus","GCF_010681825.2",0.6473,0,0.5949,0
"1189","Sulfuritalea","GCF_000828635.1",0.6281,0,0.6004,0
"1190","Sulfuritortus","GCF_003967275.1",0.6186,0,0.5971,0
"1191","Sulfurivermis","GCF_004001245.1",0.6543,0,0.6601,0
"1192","Sulfurospirillum","GCF_000568815.1",0.6396,0,0.5143,0
"1193","Sulfurovum","GCF_000987835.1",0.5976,0,0.6128,0
"1194","Sutcliffiella","GCF_002250055.1",0.3865,0.0025,0.2279,0.0826
"1195","Sutterella","GCF_016724805.1",0.5273,0,0.4388,5e-04
"1196","Swingsia","GCF_006542355.1",0.106,0.4241,-0.0356,0.7892
"1197","Symbiobacterium","GCF_000009905.1",0.5866,0,0.5398,0
"1198","Symmachiella","GCF_007747995.1",0.6751,0,0.4655,2e-04
"1199","Synechococcus","GCF_000012525.1",0.4151,0.0011,0.212,0.1069
"1200","Syntrophobacter","GCF_000014965.1",0.6785,0,0.6306,0
"1201","Syntrophobotulus","GCF_000190635.1",0.6355,0,0.5945,0
"1202","Syntrophomonas","GCF_000014725.1",0.6183,0,0.3804,0.003
"1203","Syntrophotalea","GCF_000012885.1",0.7025,0,0.6343,0
"1204","Syntrophothermus","GCF_000092405.1",0.479,1e-04,0.3645,0.0045
"1205","Syntrophus","GCF_000013405.1",0.7026,0,0.6209,0
"1206","Tabrizicola","GCF_003940805.1",0.6635,0,0.5218,0
"1207","Tamlana","GCF_002893765.1",0.4159,0.0011,0.4148,0.0011
"1208","Tannerella","GCF_000238215.1",0.7367,0,0.6214,0
"1209","Tardibacter","GCF_001890385.1",0.6825,0,0.4911,1e-04
"1210","Tardiphaga","GCF_014189415.1",0.66,0,0.524,0
"1211","Tatumella","GCF_002163605.1",0.649,0,0.4676,2e-04
"1212","Tautonia","GCF_007752535.1",0.5609,0,0.5277,0
"1213","Taylorella","GCF_028868935.1",0.2009,0.127,0.3124,0.016
"1214","Telluria","GCF_029028125.1",0.6372,0,0.5099,0
"1215","Tellurirhabdus","GCF_026278345.1",0.7264,0,0.4953,1e-04
"1216","Telmatocola","GCF_018398935.1",0.6812,0,0.5445,0
"1217","Tenacibaculum","GCF_900198195.1",0.0745,0.575,-0.1016,0.4437
"1218","Tenuifilum","GCF_013265555.1",0.5216,0,0.5895,0
"1219","Tepidanaerobacter","GCF_000213235.1",0.4201,9e-04,0.2908,0.0255
"1220","Tepidiforma","GCF_008838325.1",0.5921,0,0.4366,5e-04
"1221","Tepidimonas","GCF_020162115.1",0.6101,0,0.4568,3e-04
"1222","Tepiditoga","GCF_014701195.1",-0.2926,0.0245,-0.387,0.0025
"1223","Teredinibacter","GCF_014211975.1",0.5761,0,0.5595,0
"1224","Terribacillus","GCF_000725365.1",0.5879,0,0.4137,0.0011
"1225","Terricaulis","GCF_009792355.1",0.6435,0,0.3989,0.0018
"1226","Terriglobus","GCF_000265425.1",0.6696,0,0.5424,0
"1227","Terrihabitans","GCF_014191545.1",0.7035,0,0.3986,0.0018
"1228","Tessaracoccus","GCF_001997345.1",0.5939,0,0.5237,0
"1229","Tetragenococcus","GCF_003795145.1",0.5558,0,0.3285,0.0111
"1230","Thalassobius","GCF_012295595.1",0.6533,0,0.4333,6e-04
"1231","Thalassoglobus","GCF_007744255.1",0.5934,0,0.3577,0.0054
"1232","Thalassomonas","GCF_000948985.2",0.6814,0,0.6501,0
"1233","Thalassospira","GCF_002844375.1",0.6916,0,0.4259,8e-04
"1234","Thalassotalea","GCF_001831495.1",0.3992,0.0017,0.3239,0.0123
"1235","Thauera","GCF_001051995.2",0.6197,0,0.5659,0
"1236","Thaumasiovibrio","GCF_019703835.1",0.6236,0,0.5087,0
"1237","Thermacetogenium","GCF_000305935.1",0.4961,1e-04,0.4858,1e-04
"1238","Thermaerobacter","GCF_000184705.1",0.5905,0,0.4598,2e-04
"1239","Thermanaeromonas","GCF_900176005.1",0.3616,0.0049,0.2483,0.0579
"1240","Thermanaerosceptrum","GCF_000746025.2",0.5579,0,0.4797,1e-04
"1241","Thermanaerovibrio","GCF_000237825.1",0.4315,6e-04,0.6424,0
"1242","Thermoactinomyces","GCF_005886755.1",0.6449,0,0.4124,0.0012
"1243","Thermoanaerobacter","GCF_000147695.2",0.0252,0.8497,-0.133,0.3154
"1244","Thermoanaerobacterium","GCF_000328545.1",0.0623,0.6392,-0.0649,0.6252
"1245","Thermobacillus","GCF_000227705.2",0.6753,0,0.5036,0
"1246","Thermobaculum","GCF_000025005.1",0.5807,0,0.5934,0
"1247","Thermobifida","GCF_003574835.2",0.53,0,0.4981,1e-04
"1248","Thermobispora","GCF_017161365.1",0.5953,0,0.5317,0
"1249","Thermochromatium","GCF_009664085.1",0.5738,0,0.6036,0
"1250","Thermoclostridium","GCF_000331995.1",0.5707,0,0.5678,0
"1251","Thermocrinis","GCF_000512735.1",0.1904,0.1486,0.5195,0
"1252","Thermodesulfatator","GCF_000217795.1",0.5025,1e-04,0.5152,0
"1253","Thermodesulfobacterium","GCF_000734015.1",0.469,2e-04,0.4394,5e-04
"1254","Thermodesulfobium","GCF_000212395.1",-0.0199,0.8811,0.0193,0.8848
"1255","Thermodesulfovibrio","GCF_000020985.1",0.1763,0.1818,0.0925,0.4858
"1256","Thermogutta","GCF_002277955.1",0.7044,0,0.5408,0
"1257","Thermomicrobium","GCF_000021685.1",0.5429,0,0.3611,0.005
"1258","Thermomonas","GCF_014395425.1",0.5158,0,0.4877,1e-04
"1259","Thermomonospora","GCF_003589885.1",0.5725,0,0.5308,0
"1260","Thermosediminibacter","GCF_000144645.1",0.5072,0,0.5521,0
"1261","Thermosipho","GCF_000021285.1",-0.2241,0.0879,-0.2978,0.022
"1262","Thermostichus","GCF_002754935.1",0.5083,0,0.5019,1e-04
"1263","Thermosulfidibacter","GCF_001547735.1",0.3512,0.0064,0.4462,4e-04
"1264","Thermosulfurimonas","GCF_012317585.1",0.615,0,0.5904,0
"1265","Thermosulfuriphilus","GCF_011207455.1",0.4932,1e-04,0.4938,1e-04
"1266","Thermosynechococcus","GCF_000011345.1",0.5094,0,0.5383,0
"1267","Thermotoga","GCF_000828675.1",0.0542,0.6835,-0.2977,0.022
"1268","Thermotomaculum","GCF_016592575.1",0.1207,0.3626,0.3322,0.0102
"1269","Thermovibrio","GCF_000185805.1",0.303,0.0197,0.3305,0.0106
"1270","Thermovirga","GCF_000233775.1",0.3442,0.0076,0.5323,0
"1271","Thermus","GCF_004684245.1",0.5036,0,0.6602,0
"1272","Thioalkalivibrio","GCF_000321415.2",0.6883,0,0.5644,0
"1273","Thiocapsa","GCF_021228795.1",0.6551,0,0.6036,0
"1274","Thioclava","GCF_002085925.2",0.7013,0,0.5485,0
"1275","Thiocystis","GCF_000227745.2",0.6345,0,0.5499,0
"1276","Thioflavicoccus","GCF_000327045.1",0.6883,0,0.529,0
"1277","Thiolapillus","GCF_000828615.1",0.6608,0,0.6699,0
"1278","Thiomicrorhabdus","GCF_004293625.1",0.5567,0,0.4248,8e-04
"1279","Thiomicrospira","GCF_000227665.2",0.6224,0,0.5668,0
"1280","Thiomonas","GCF_000253115.1",0.5505,0,0.556,0
"1281","Thiopseudomonas","GCF_001267255.1",0.5988,0,0.4355,6e-04
"1282","Thiospirochaeta","GCF_008329945.1",0.0524,0.6934,0.2427,0.064
"1283","Thiosulfatimonas","GCF_011398355.1",0.6402,0,0.4698,2e-04
"1284","Thiosulfativibrio","GCF_011398155.1",0.5401,0,0.5126,0
"1285","Thiothrix","GCF_021650935.1",0.6181,0,0.5202,0
"1286","Thomasclavelia","GCF_016728785.1",0.4663,2e-04,0.2233,0.0891
"1287","Tichowtungia","GCF_009905215.1",0.8029,0,0.5415,0
"1288","Tistrella","GCF_000264455.2",0.6167,0,0.4051,0.0015
"1289","Tolumonas","GCF_000023065.1",0.7311,0,0.4364,5e-04
"1290","Tolypothrix","GCF_002368295.1",0.1862,0.1579,-0.0055,0.9668
"1291","Treponema","GCF_000214375.1",0.6698,0,0.6328,0
"1292","Trichlorobacter","GCF_000020385.1",0.6999,0,0.6379,0
"1293","Trichormus","GCF_009856605.1",0.2671,0.0409,0.2147,0.1024
"1294","Tritonibacter","GCF_000376545.2",0.6746,0,0.554,0
"1295","Tropheryma","GCF_000196075.1",0.0274,0.8367,-0.1817,0.1685
"1296","Truepera","GCF_000092425.1",0.6246,0,0.4273,7e-04
"1297","Trueperella","GCF_000612055.1",0.6699,0,0.5121,0
"1298","Tsukamurella","GCF_000092225.1",0.5492,0,0.4669,2e-04
"1299","Tsuneonella","GCF_016925655.1",0.577,0,0.3435,0.0077
"1300","Tumebacillus","GCF_002162355.1",0.72,0,0.4781,1e-04
"1301","Turicibacter","GCF_013046825.1",0.3726,0.0037,0.1381,0.2967
"1302","Turicimonas","GCF_016696765.1",0.6942,0,0.4627,2e-04
"1303","Turneriella","GCF_000266885.1",0.6659,0,0.473,2e-04
"1304","Tuwongella","GCF_901538355.1",0.5976,0,0.4315,6e-04
"1305","Undibacterium","GCF_003955735.1",0.5629,0,0.5131,0
"1306","Urbifossiella","GCF_007747215.1",0.4742,1e-04,0.4353,6e-04
"1307","Ureaplasma","GCF_000941095.1",-0.1095,0.4092,-0.1207,0.3625
"1308","Urechidicola","GCF_001761325.1",0.0774,0.5603,0.0117,0.9299
"1309","Ureibacillus","GCF_002370195.2",0.4749,1e-04,0.1242,0.3488
"1310","Uruburuella","GCF_022870865.1",0.7022,0,0.5164,0
"1311","Usitatibacter","GCF_013003965.1",0.6323,0,0.5717,0
"1312","Vaginimicrobium","GCF_900155645.1",0.2854,0.0284,0.0722,0.5869
"1313","Vagococcus","GCF_014397115.1",0.436,6e-04,0.1462,0.2692
"1314","Vallitalea","GCF_018141445.1",0.52,0,0.5365,0
"1315","Variibacter","GCF_002355335.1",0.7054,0,0.4606,2e-04
"1316","Veillonella","GCF_900186885.1",0.3625,0.0048,0.314,0.0155
"1317","Venatoribacter","GCF_016132445.1",0.6181,0,0.4235,8e-04
"1318","Verminephrobacter","GCF_000015565.1",0.5481,0,0.5474,0
"1319","Verrucomicrobium","GCF_000172155.1",0.515,0,0.6043,0
"1320","Vescimonas","GCF_018408575.1",0.6209,0,0.6639,0
"1321","Vespertiliibacter","GCF_013377275.1",0.3095,0.0171,0.2548,0.0514
"1322","Vibrio","GCF_019977755.1",0.5475,0,0.4659,2e-04
"1323","Virgibacillus","GCF_018075365.1",0.5516,0,0.2545,0.0518
"1324","Vitreoscilla","GCF_002222655.1",0.4968,1e-04,0.4002,0.0017
"1325","Vulgatibacter","GCF_001263175.1",0.4694,2e-04,0.5717,0
"1326","Waddlia","GCF_000092785.1",0.6198,0,0.5123,0
"1327","Weeksella","GCF_900637795.1",0.5165,0,0.3132,0.0157
"1328","Weissella","GCF_001951095.1",0.5797,0,0.5079,0
"1329","Weizmannia","GCF_000832905.1",0.6874,0,0.4244,8e-04
"1330","Wenyingzhuangia","GCF_001697185.1",0.0979,0.4609,0.1005,0.4487
"1331","Wenzhouxiangella","GCF_001187785.1",0.6855,0,0.5801,0
"1332","Wigglesworthia","GCF_000247565.1",0.0513,0.6996,-0.1037,0.4347
"1333","Williamsoniiplasma","GCF_002803985.1",0.075,0.5726,0.224,0.0881
"1334","Winogradskyella","GCF_013394655.1",0.3363,0.0092,0.327,0.0115
"1335","Woeseia","GCF_001677435.1",0.7061,0,0.456,3e-04
"1336","Wolinella","GCF_000196135.1",0.5019,1e-04,0.616,0
"1337","Xanthobacter","GCF_016807805.1",0.616,0,0.5891,0
"1338","Xanthomonas","GCF_001908725.1",0.6143,0,0.4958,1e-04
"1339","Xenorhabdus","GCF_001721185.1",0.6121,0,0.4455,4e-04
"1340","Xiamenia","GCF_017945865.1",0.6986,0,0.5547,0
"1341","Xylanimonas","GCF_004135385.1",0.4873,1e-04,0.4647,2e-04
"1342","Xylella","GCF_020990565.1",0.3244,0.0122,0.306,0.0184
"1343","Xylophilus","GCF_009906855.1",0.6188,0,0.5488,0
"1344","Yersinia","GCF_000582515.1",0.6988,0,0.4685,2e-04
"1345","Youhaiella","GCF_008000755.1",0.6754,0,0.606,0
"1346","Zhaonella","GCF_004353525.1",0.5305,0,0.5142,0
"1347","Zhongshania","GCF_001586255.1",0.6515,0,0.5422,0
"1348","Zhouia","GCF_022760175.1",0.6667,0,0.6281,0
"1349","Zobellella","GCF_002407485.1",0.665,0,0.6542,0
"1350","Zobellia","GCF_000973105.1",0.5859,0,0.7072,0
"1351","Zophobihabitans","GCF_011745665.1",0.5997,0,0.3346,0.0096
"1352","Zunongwangia","GCF_000023465.1",0.5506,0,0.3636,0.0046
"1353","Zymobacter","GCF_003610015.1",0.7348,0,0.4245,8e-04
"1354","Zymomonas","GCF_000498655.1",0.4914,1e-04,0.0978,0.4612
